,name,company,year,Price,kms_driven,fuel_type
0,Santro Xing,Hyundai,2007,80000,45000,Petrol
1,Jeep CL550,Mahindra,2006,425000,40,Diesel
2,Grand i10,Hyundai,2014,325000,28000,Petrol
3,EcoSport Titanium,Ford,2014,575000,36000,Diesel
4,Figo,Ford,2012,175000,41000,Diesel
5,Eon,Hyundai,2013,190000,25000,Petrol
6,EcoSport Ambiente,Ford,2016,830000,24530,Diesel
7,Suzuki Alto,Maruti,2015,250000,60000,Petrol
8,Fabia Classic,Skoda,2010,182000,60000,Petrol
9,Suzuki Stingray,Maruti,2015,315000,30000,Petrol
10,Elite i20,Hyundai,2014,415000,32000,Petrol
11,Scorpio SLE,Mahindra,2015,320000,48660,Diesel
12,Santro Xing,Hyundai,2007,80000,45000,Petrol
13,Jeep CL550,Mahindra,2006,425000,40,Diesel
14,A8,Audi,2017,1000000,4000,Petrol
15,Q7,Audi,2014,500000,16934,Diesel
16,Scorpio S10,Mahindra,2016,350000,43000,Diesel
17,Suzuki Alto,Maruti,2014,160000,35550,Petrol
18,Scorpio S10,Mahindra,2016,350000,43000,Diesel
19,Scorpio S10,Mahindra,2016,310000,39522,Diesel
20,Suzuki Alto,Maruti,2015,75000,39000,Petrol
21,i20 Sportz,Hyundai,2012,100000,55000,Petrol
22,i20 Sportz,Hyundai,2012,100000,55000,Petrol
23,i20 Sportz,Hyundai,2012,100000,55000,Petrol
24,Suzuki Alto,Maruti,2017,190000,72000,Petrol
25,Suzuki Vitara,Maruti,2016,290000,15975,Diesel
26,Suzuki Alto,Maruti,2008,95000,70000,Petrol
27,Bolero DI,Mahindra,2017,180000,23452,Diesel
28,Suzuki Swift,Maruti,2014,385000,35522,Diesel
29,Scorpio S10,Mahindra,2015,250000,48508,Diesel
30,Suzuki Swift,Maruti,2017,180000,15487,Petrol
31,Suzuki Wagon,Maruti,2013,105000,39000,Petrol
32,Suzuki Wagon,Maruti,2013,105000,39000,Petrol
33,Innova 2.0,Toyota,2012,650000,82000,Diesel
34,Lodgy 85,Renault,2018,689999,20000,Diesel
35,Yeti Ambition,Skoda,2012,448000,68000,Diesel
36,Suzuki Baleno,Maruti,2017,549000,32000,Diesel
37,Duster 110,Renault,2012,501000,38000,Diesel
38,Duster 85,Renault,2013,489999,27000,Diesel
39,City 1.5,Honda,2011,280000,33000,Petrol
40,Suzuki Alto,Maruti,2015,250000,60000,Petrol
41,Suzuki Dzire,Maruti,2013,349999,46000,Diesel
42,Amaze,Honda,2013,284999,46000,Diesel
43,Amaze 1.5,Honda,2015,345000,36000,Diesel
44,City,Honda,2015,499999,55000,Petrol
45,Redi GO,Datsun,2017,235000,16000,Petrol
46,Suzuki SX4,Maruti,2010,249999,36000,Petrol
47,Pajero Sport,Mitsubishi,2015,1475000,47000,Diesel
48,Bolero DI,Mahindra,2017,180000,23452,Diesel
49,Suzuki Swift,Maruti,2014,385000,35522,Diesel
50,Scorpio S10,Mahindra,2015,250000,48508,Diesel
51,Suzuki Swift,Maruti,2017,180000,15487,Petrol
52,Suzuki Wagon,Maruti,2013,105000,39000,Petrol
53,Suzuki Wagon,Maruti,2013,105000,39000,Petrol
54,Scorpio S10,Mahindra,2015,395000,35000,Diesel
55,Suzuki Swift,Maruti,2017,220000,30874,Petrol
56,City ZX,Honda,2017,170000,15000,Diesel
57,Suzuki Wagon,Maruti,2013,85000,29685,Petrol
58,Figo,Ford,2012,175000,41000,Diesel
59,Eon,Hyundai,2013,190000,25000,Petrol
60,Indigo eCS,Tata,2017,200000,130000,Diesel
61,EcoSport Ambiente,Ford,2016,830000,24530,Diesel
62,Indigo eCS,Tata,2017,200000,130000,Diesel
63,Scorpio SLE,Mahindra,2012,570000,19000,Diesel
64,Polo Highline,Volkswagen,2014,315000,60000,Petrol
65,Fabia Classic,Skoda,2010,182000,60000,Petrol
66,Suzuki Stingray,Maruti,2015,315000,30000,Petrol
67,Spark LS,Chevrolet,2010,110000,41000,Petrol
68,Duster 110PS,Renault,2012,501000,35000,Diesel
69,City,Honda,2015,448999,54000,Petrol
70,Cooper S,Mini,2013,1891111,13000,Petrol
71,Redi GO,Datsun,2017,235000,16000,Petrol
72,Fabia 1.2L,Skoda,2011,159500,38200,Diesel
73,Amaze,Honda,2015,344999,22000,Petrol
74,Amaze,Honda,2015,344999,22000,Petrol
75,Duster,Renault,2014,449999,50000,Diesel
